ID,location,gender,age_category,seniority_category,satisfaction_score,#contact_acct,rating_acct,#contact_HR,rating_HR,#contact_OM,rating_OM,rating_security,rating_D&R
120,New Dehli ,Female,2.0,2.0,8.0,1 to 2 times,8.0,5 times or more,8.0,5 times or more,10.0,8.0,
121,Amsterdam,Female,2.0,4.0,8.0,1 to 2 times,8.0,1 to 2 times,9.0,1 to 2 times,5.0,8.0,8.0
122,New Dehli ,Male,3.0,2.0,7.0,5 times or more,7.0,1 to 2 times,10.0,3 to 4 times,10.0,10.0,10.0
123,New Dehli ,Female,1.0,3.0,10.0,3 to 4 times,7.0,3 to 4 times,7.0,5 times or more,10.0,8.0,10.0
124,Boston,Female,2.0,4.0,6.0,3 to 4 times,6.0,5 times or more,7.0,5 times or more,8.0,7.0,
125,Boston,Female,2.0,3.0,9.0,5 times or more,7.0,5 times or more,10.0,5 times or more,10.0,9.0,7.0
126,Amsterdam,Female,4.0,4.0,7.0,3 to 4 times,4.0,5 times or more,8.0,3 to 4 times,9.0,8.0,
127,Boston,Female,2.0,3.0,5.0,3 to 4 times,5.0,5 times or more,7.0,5 times or more,8.0,7.0,1.0
128,Amsterdam,Female,2.0,2.0,7.0,3 to 4 times,8.0,3 to 4 times,9.0,5 times or more,9.0,7.0,8.0
129,Amsterdam,Female,3.0,5.0,8.0,1 to 2 times,9.0,0 times,,3 to 4 times,10.0,9.0,10.0
130,Boston,Male,2.0,2.0,3.0,5 times or more,7.0,5 times or more,5.0,5 times or more,9.0,6.0,7.0
131,Boston,Female,2.0,3.0,6.0,5 times or more,5.0,5 times or more,3.0,5 times or more,7.0,7.0,
132,Boston,Male,3.0,2.0,3.0,3 to 4 times,7.0,5 times or more,1.0,5 times or more,3.0,7.0,7.0
133,Amsterdam,Male,2.0,3.0,7.0,5 times or more,7.0,1 to 2 times,8.0,5 times or more,10.0,9.0,
134,Boston,Female,1.0,1.0,7.0,5 times or more,8.0,5 times or more,8.0,5 times or more,8.0,7.0,8.0
135,Amsterdam,Male,4.0,5.0,8.0,3 to 4 times,8.0,3 to 4 times,9.0,5 times or more,9.0,9.0,9.0
136,Boston,Male,2.0,3.0,7.0,5 times or more,7.0,1 to 2 times,8.0,1 to 2 times,8.0,9.0,7.0
137,Boston,Male,3.0,3.0,7.0,3 to 4 times,8.0,3 to 4 times,9.0,5 times or more,10.0,7.0,
138,Amsterdam,Male,3.0,4.0,3.0,3 to 4 times,7.0,5 times or more,7.0,5 times or more,6.0,7.0,
