Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2901","Grand Total","1975","1975","kcal/capita/day","3118","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","1975","1975","kcal/capita/day","390","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","1975","1975","kcal/capita/day","269","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2918","Vegetables","1975","1975","kcal/capita/day","41","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1975","1975","kcal/capita/day","127","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2924","Alcoholic Beverages","1975","1975","kcal/capita/day","281","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2941","Animal Products","1975","1975","kcal/capita/day","1046","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2943","Meat","1975","1975","kcal/capita/day","373","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2946","Animal fats","1975","1975","kcal/capita/day","348","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","1975","1975","kcal/capita/day","220","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2960","Fish, Seafood","1975","1975","kcal/capita/day","27","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2901","Grand Total","1976","1976","kcal/capita/day","3190","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","1976","1976","kcal/capita/day","413","Fc","Calculated data"
